,_id,type,title,category,time,lang,cluster
517,5ea552409fced0a24b515b26,event,世卫组织表示现有证据来看，新冠病毒源自动物，而不是经实验室人工干预或制造而来的。,,2020/04/22,zh,0
201,5e8d92fa7ac1f2cf57f7aa09,event,美国乔治亚南方大学、波士顿大学联合研究团队发文称中国省份（2020年1月20日至2月9日）分析了COVID-19流行病倍增时间。总体平均倍增时间在1.3到3.4天之间，湖北估计为2.5天。随着流行病的发展，流行病的倍增时间增加，这表明社会隔离措施正在减缓流行病的速度。,,2020/02/21,zh,0
204,5e8d92fa7ac1f2cf57f7aa10,event,哈佛大学、广州呼吸健康研究院、恒大集团三方联合成立的新型冠状病毒肺炎科研攻坚小组，科研攻坚小组包括国家卫健委高级别专家组组长钟南山院士，哈佛大学医学院院长GeorgeDaley院士，哈佛大学医学院副院长DavidGolan、免疫系主任ArleneSharpe院士，哈佛大学雷根研究所主任BruceWalker院士，哈佛大学传染疾病动态中心主任MarcLipstich，丹娜法伯癌症研究院传染病系主任LindseyBaden，广州呼吸健康研究院院长何建行教授、呼吸疾病国家重点实验室副主任赵金存教授等国内外权威专家，这是一个世界顶级团队。,,2020/02/19,zh,0
419,5e931e449fced0a24b350ac1,event,华中科技大学邬堂春团队研究发现一系列多方面的公共卫生干预措施在时间上与中国武汉市对COVID-19暴发的控制得到改善有关。这些发现可能有助于其他国家和地区的制定公共卫生政策。,,2020/04/11,zh,0
418,5e931e449fced0a24b350abd,event,斯坦福大学教授戴维·M·斯塔德特教授表示可以学习中国分区分级精准的防控方法，可以根据社区对Covid-19的流行程度来调高或调低测试方案的严格程度。,,2020/04/12,zh,0
209,5e8d92fa7ac1f2cf57f7aa16,event,杰毅生物联手浙江省疾控中心和阿里达摩院医疗AI团队，又共同推出了针对新冠病毒的自动化全基因组检测分析平台，阿里的算法让生信分析时间从数小时缩短到半小时，大幅提高了疑似病例的确诊速度和准确率。,,2020/02/18,zh,0
210,5e8d92fa7ac1f2cf57f7aa17,event,《中华流行病学》杂志发布了一篇论文，选取截至2020年2月11日中国内地传染病报告信息系统中上报所有新型冠状病毒肺炎病例进行了回顾性研究，从截至1月20日发病人数（6174）与确诊病例之间（291）的巨大差异折射出疫情防控初期存在的薄弱之处。,,2020/02/18,zh,0
212,5e8d92fa7ac1f2cf57f7aa1b,event,国际病毒分类委员会（ICTV）将新型冠状病毒命名为SARS－CoV－2，引发中国学者的广泛质疑。18日，高福、石正丽多位中国专家联名在《柳叶刀》线上平台刊发文章，对新型冠状病毒命名提出了建议，呼吁将病毒命名为HCoV－19（“2019年人冠状病毒”）。,,2020/02/18,zh,0
214,5e8d92fa7ac1f2cf57f7aa1e,event,中国目前有80项针对COVID-19潜在疗法的正在运行或尚待进行的临床试验，包括艾滋病毒药物，干细胞和中药都在试图通过临床证明其价值。,,2020/02/17,zh,0
215,5e8d92fa7ac1f2cf57f7aa20,event,德国吕贝克大学的Rolf Hilgenfeld教授曾在2003年参与中国抗击SARS的斗争，他说这些RNA病毒具有自限性。这意味着即使没有生病，大多数感染者也会在一定时间后形成针对该病毒的抗体。,,2020/02/17,zh,0
559,5eaebb419fced0a24b1d5dfa,event,美国疾控中心研究人员发布报告，复盘美国新冠疫情发展。报告认为，持续的旅客输入、大规模聚会、缺少防护措施促使病毒在高危场所和人口密集区扩散、检测不充分和无症状感染导致病毒在未被察觉的情况下传播这四大因素造成了美国疫情加速蔓延。,,2020/05/03,zh,0
623,5eb6bb2e9fced0a24bf85ae2,event,美国食品药品监督管理局（FDA）紧急授权了以CRISPR/Cas基因修饰技术为原理的新冠病毒检测试剂盒，该试剂盒可在一小时左右得出结果，准确率为100%，这也是美国FDA授权的首款该类型试剂盒。,,2020/05/09,zh,0
220,5e8d92fa7ac1f2cf57f7aa26,event,广东推出“战疫人才贷”助力研发攻关最高额度3000万元，支持疫情防控技术、产品、药物研发生产,,2020/02/15,zh,0
221,5e8d92fa7ac1f2cf57f7aa28,event,CRISPR基因编辑大神张锋教授团队发布了使用基于CRISPR/Cas13的SHERLOCK技术检测新型冠状病毒的详细操作流程文档，经验证，该方法检测新冠病毒异常灵敏，每微升里仅10-100个病毒拷贝，都可以被检测出来。,,2020/02/14,zh,0
193,5e8d92fa7ac1f2cf57f7aa01,event,王辰院士等Lancet发文称，复工后应继续部分隔离策略,,2020/02/24,zh,0
222,5e8d92fa7ac1f2cf57f7aa29,event,加拿大首例确诊的2019年新型冠状病毒病例，表现为轻度肺炎，综合其他病例症状标明通过在家中而非医院进行隔离来管理疫情，这可能是遏制这种暴发的重要策略。,,2020/02/14,zh,0
226,5e8d92fa7ac1f2cf57f7aa2e,event,OpenKG 发布多个新冠病毒相关开放知识图谱，此前OpenKG联合来自同济大学、浙江大学、东南大学、海乂知信息科技、文因互联、小米人工智能实验室、武汉科技大学、复旦大学、海知智能的知识图谱技术专家联合构建新冠病毒相关知识图谱。,,2020/02/12,zh,0
230,5e8d92fa7ac1f2cf57f7aa38,event,抗病毒药物瑞德西韦临床试验已在武汉金银潭医院启动,,2020/02/07,zh,0
233,5e8d92fa7ac1f2cf57f7aa40,event,陕西省首批8个针对新型冠状病毒应急科技攻关项目启动,,2020/02/06,zh,0
620,5eb538549fced0a24b4465df,event,瑞德西韦在日本以外的国家也尚未获得许可或批准，正在进行的临床试验仍在继续评估其安全性和有效性。,,2020/05/08,zh,0
239,5e8d92fa7ac1f2cf57f7aa4d,event,广西启动首批战“疫”国际科技合作应急专项,,2020/02/03,zh,0
240,5e8d92fa7ac1f2cf57f7aa51,event,有“病毒猎人”之称的伊恩·利普金教授从美国出发到广州，目的是 通过和中国相关部门人士进行沟通 ，并确保中国人民和全球公共卫生界相信，我们将尽一切可能使 疫情迅速得到控制。在于钟南山沟通后，在中山大学针对新型冠状病毒感染的肺炎疫情的科研合作进行探讨。,,2020/02/01,zh,0
241,5e8d92fa7ac1f2cf57f7aa52,event,世界卫生组织（WHO）宣布新冠病毒疫情的全球性爆发为“国际关注的突发公共卫生事件”（PHEIC）,,2020/01/31,zh,0
242,5e8d92fa7ac1f2cf57f7aa53,event,战疫情 成都首批8个应急科技攻关项目正式启动,,2020/01/30,zh,0
243,5e8d92fa7ac1f2cf57f7aa57,event,中国疾病预防控制中心新型冠状病毒感染的肺炎疫情一级响应态势分析与风险评估组发布了《2019新型冠状病毒态势进展和风险评估》。,,2020/01/28,zh,0
244,5e8d92fa7ac1f2cf57f7aa58,event,艾滋病药物可以阻止冠状病毒,,2020/01/28,zh,0
245,5e8d92fa7ac1f2cf57f7aa5a,event,辽宁省首批8个应急科技攻关项目启动,,2020/01/25,zh,0
246,5e8d92fa7ac1f2cf57f7aa5b,event,权威医学杂志《新英格兰医学杂志》发表了由中国疾控中心主任高福领衔的相关研究论文，披露了中国科学家发现并分离出新型冠状病毒（2019-nCov）的全过程,,2020/01/25,zh,0
247,5e8d92fa7ac1f2cf57f7aa5d,event,王辰院士、高福院士等人联名在柳叶刀杂志（The Lancet）在线发表题为「A novel coronavirus outbreak of global health concern」的评论文章，系统总结新型冠状病毒疫情的进展情况，同时指出将来临床和基础科学研究的方向。,,2020/01/24,zh,0
223,5e8d92fa7ac1f2cf57f7aa2a,event,美国 CDC 发布了对 2020 年 1 月新型冠状病毒感染风险人群的调查报告， 其中 20%没有近期中国旅行史，但属密切接触者。,,2020/02/14,zh,0
410,5e9060299fced0a24be5a3d2,event,《自然》杂志在题为“停止冠状病毒污名化刻不容缓”的社论文章中表示，这场疫情大流行助长了可悲的种族主义和歧视，尤其是针对亚洲人的歧视。教育和研究将为此付出代价。,,2020/04/10,zh,0
191,5e8d92fa7ac1f2cf57f7a9fe,event,国家药品监督管理局今天已新批了两个新冠肺炎病毒检测试剂盒，其中一个是清华大学参与设计开发的“六项呼吸道病毒核酸检测试剂盒（恒温扩增芯片法）”，该试剂盒在1.5小时内便可一次性检测包括新型冠状病毒（2019-nCoV）在内的6种呼吸道常见病毒。这也是全球首个能在1.5小时内检测包括新型冠状病毒在内的6项呼吸道病毒核酸检测芯片试剂盒。产品目前已获15项授权专利。,,2020/02/24,zh,0
189,5e8d92fa7ac1f2cf57f7a9fa,event,世卫专家称中国方法是唯一已被证实有效的方法：多国疫情升级，世卫组织总干事高级顾问布鲁斯·艾尔沃德表示，在没有特效药、没有疫苗的情况下，中国的做法是有什么就用什么，能怎样拯救生命就怎么样拯救生命。确诊患者数据的下降表明中国的方法是目前唯一的被事实证明成功的方法。,,2020/02/25,zh,0
129,5e8d92fa7ac1f2cf57f7a985,event,钟南山院士在首届新冠肺炎多学科线上论坛上，独家发布了其最新的研究成果：已开发快速检测试纸、恒温扩增芯片两个新的诊断鉴别法。,,2020/03/12,zh,0
130,5e8d92fa7ac1f2cf57f7a986,event,世卫组织宣布新冠肺炎疫情已具有全球大流行特征,,2020/03/12,zh,0
131,5e8d92fa7ac1f2cf57f7a990,event,世卫组织在官网“常见问题”指南中删除之前版本提出的“新冠防治不应当使用传统草本药物”，解释称之前的语言过于宽泛，没有考虑到很多人都会使用传统草本药物来缓解2019冠状病毒病引发的轻症。,,2020/03/11,zh,0
132,5e8d92fa7ac1f2cf57f7a991,event,中日友好医院曹彬和武汉金银潭医院陈华联合研究团队在《柳叶刀》发文称年龄大、SOFA高，入院时D-二聚体水平大于1μg/L是新冠肺炎致死相关危险因素,,2020/03/11,zh,0
133,5e8d92fa7ac1f2cf57f7a992,event,香港大学的流行病学家本·考林在science上发文质疑入境筛查基本没用 。75%的新冠患者未检测出来：出入境通过温度枪来检测的结果是不准确的，发现被感染的乘客极为困难，感染者可以通过多种方式钻空子通过机场检测。,,2020/03/11,zh,0
134,5e8d92fa7ac1f2cf57f7a993,event,钟南山团队的新筛查方式滴血15分钟出结果，其研发的IgM-IgG联合抗体检测的敏感性远高于IgM或IgG单抗体检测，可在床旁用指尖采血方式进行检测。,,2020/03/11,zh,0
138,5e8d92fa7ac1f2cf57f7a9a0,event,中国工程院院士、华中科大校长李元元称华中科大投入了28个科研单位进行抗疫研究，重点团队有24个，在研究方向上，主要集中在新冠病毒的流行病学、快速诊断检测与试剂、药物疫苗研发、临床诊治、疾病防控机制、防护产品及装备、心理干预、公共卫生治理现代化综合研究等重大科学问题。,,2020/03/09,zh,0
454,5e96f2d49fced0a24b0ca650,event,武汉启动了1.1万人的血清流行病学调查，这项调查的意义极为重要，通过这个数据去了解新冠病毒的感染率，可以知道到底无症状感染占什么样的比例，而这个比例对未来防控有什么影响。,,2020/04/15,zh,0
141,5e8d92fa7ac1f2cf57f7a9a3,event,新冠肺炎当前检测诊断成果总结： 已经有14个检测产品获批并应用于临床，整体检测水平显著提高，能满足国内诊断检测的需求。抗体和核酸两类检测的试剂互相补充，进一步提高检出率。,,2020/03/09,zh,0
453,5e96f2d49fced0a24b0ca64c,event,据武汉市核酸检测平台统计数据，4月8日—4月14日一周内，共对225999人进行了核酸检测，发现无症状感染者130例，检出率0.0575%，华中科技大学同济医学院公共卫生学院流行病与卫生统计学系教授魏晟表示从流行病学角度来说，现阶段出现一定数量的无症状感染者，甚至个别确诊病例，都是符合传染病流行基本规律的，市民无需恐慌。,,2020/04/15,zh,0
144,5e8d92fa7ac1f2cf57f7a9ae,event,WHO正式发布了针对COVID-19的全球研究路线图，并明确了包括病毒的自然史、流行病学、疫苗、诊断试剂、治疗工具、临床管理、伦理考量、社会科学等在内的9大关键领域的核心优先事项。,,2020/03/08,zh,0
452,5e96f2d49fced0a24b0ca649,event,美国哈佛大学研究人员的一项新研究显示，在最严重的这波新冠疫情过去之后，疫情可能会周期性地在冬季暴发。现有的保持社交距离的措施有必要延长至2022年。,,2020/04/15,zh,0
146,5e8d92fa7ac1f2cf57f7a9b0,event,仅旅行限制并不能有效控制COVID-19疫情：美国Northeastern大学和Florida大学课题组成员通过数字模拟结果表明，除非同时进行公共卫生干预措施将传播效率降低至少50％或更高，否则90％的往返中国大陆的旅行限制并不能有效控制COVID-19流行。,,2020/03/08,zh,0
432,5e9464739fced0a24be15157,event,中国科学院大连化学物理研究所科研人员提出了一种全新的基于席夫碱水解的动态共价化学方法，实现了对唾液酸糖链的精确捕获，这为后续揭示病毒侵染机制、发现新的疾病生物标记物和药物靶点，以及开发抗病毒药物或疫苗打下基础。,,2020/04/13,zh,0
148,5e8d92fa7ac1f2cf57f7a9b2,event,数字模型显示国外疫情干预效果有限：复旦大学建立回归数字模型发现中国外COVID-19从一开始就稳定的遵循近似指数型增长模型，每19天患者数量增长10倍，显示出并没有强有力的干预措施。,,2020/03/08,zh,0
150,5e8d92fa7ac1f2cf57f7a9ba,event,上海交通大学系统生物医学研究院陶生策团队成功构建新型冠状病毒蛋白质组芯片。,,2020/03/07,zh,0
151,5e8d92fa7ac1f2cf57f7a9bb,event,首都医科大学附属北京同仁医院发表文章指出高龄和男性是COVID-19预后较差的危险因素，男性更倾向于具有更高的疾病程度和死亡率。,,2020/03/07,zh,0
152,5e8d92fa7ac1f2cf57f7a9bc,event,武汉华南市场疫情的源头之外的分型病毒被发现：浙江大学、中山大学和圣路易斯大学合作发现根据突变位点可将病毒分为I型和II型，II型可能是SARS-CoV-2在武汉华南市场疫情的源头，而I型引起的疫情应该发生在其他地方，因为患者与市场没有直接联系。,,2020/03/07,zh,0
155,5e8d92fa7ac1f2cf57f7a9c6,event,吴云涛、郑志明、黄耀伟、袁国勇等 12 位中美华人学者在顶级医学期刊《柳叶刀》发表公开信，支持将新冠病毒命名为 SARS-CoV-2。学者认为以 SARS 为这种新病毒命名有助于公众对保持警惕，并对后续可能出现的新病毒做好迅速反应的准备。,,2020/03/06,zh,0
158,5e8d92fa7ac1f2cf57f7a9cd,event,国家卫生健康委、人力资源社会保障部、国家中医药管理局决定授予北京大学第一医院重症救治医疗队等 113 个集体「全国卫生健康系统新冠肺炎疫情防控工作先进集体」称号，授予丁新民等 472 位同志「全国卫生健康系统新冠肺炎疫情防控工作先进个人」称号，追授徐辉等 34 位同志「全国卫生健康系统新冠肺炎疫情防控工作先进个人」称号，获奖个人享受省部级表彰奖励获得者待遇。,,2020/03/05,zh,0
162,5e8d92fa7ac1f2cf57f7a9d6,event,世界卫生组织助理总干事布鲁斯·艾尔沃德（Bruce Aylward）在北京的情况通报会上继续表示，雷姆昔韦似乎是“目前我们认为可能拥有的一种药物……”,,2020/03/04,zh,0
640,5eba95469fced0a24b20b1ef,event,英国约翰逊政府首次建议英格兰民众外出用织物遮挡口鼻。约翰逊表示在一些难以保持社交距离的封闭场所用织物遮挡口鼻可减少疾病传播。,,2020/05/12,zh,0
171,5e8d92fa7ac1f2cf57f7a9e5,event,美国西南医学中心研究结果称通医用口罩与N95口罩在预防流感或其他病毒性呼吸道疾病上的效果没有显着差异。,,2020/02/28,zh,0
