,_id,text,cluster
0,5e8d92fa7ac1f2cf57f7b075,泉州坍塌酒店已致27人死截至3月11日6:40，泉州坍塌酒店现场搜救出受困人员68人，死亡26人（其中24人救出时已无生命体征，2人送医抢救无效死亡），正在搜救的还有3人。8点43分，泉州坍塌酒店救援消防员挖出一名男性遇难者遗体，消防员集体向遇难者默哀。,0
461,5e8d92fa7ac1f2cf57f7b3ff,内蒙古医生包长命殉职，50岁内蒙古兴安盟科右前旗察尔森镇沙力根嘎查50岁村医包长命，天生肢体残疾，却坚守抗疫最前线，突发疾病去世。,0
468,5e8d92fa7ac1f2cf57f7b406,香港限制湖北居民及14日内到过湖北的人士入境香港特区政府26日晚宣布，27日零时起，所有湖北省居民以及过去14日内到过湖北的非香港居民将不获准入境香港，直至另行通知为止。,0
469,5e8d92fa7ac1f2cf57f7b407,河南版“小汤山”医院开建为遏制武汉新型冠状病毒感染肺炎疫情蔓延扩散，郑州市将在原郑州市第一人民医院港区医院老院区的基础上进行改造，建设河南版“小汤山”医院。,0
470,5e8d92fa7ac1f2cf57f7b408,国家药监局应急审批通过华大基因等4家企业4个新冠病毒检测产品2020年1月26日，国家药品监督管理局应急审批通过4家企业4个新型冠状病毒检测产品。其中，华大集团旗下的华大基因和华大智造2家公司的2个产品——新型冠状病毒检测试剂盒和DNBSEQ-T7测序系统，双双正式通过了国家药监局应急审批程序，成为首批正式获准上市的抗击疫情的检测产品。,0
473,5e8d92fa7ac1f2cf57f7b40b,福建医生毛样洪殉职，52岁毛样洪，中共党员，福建省南平市浦城县仙阳镇中心卫生院副院长，1月25日大年初一在福建省浦城县忠信高速检查站负责检测过往车辆人员体温，当天21时许，冒着寒风大雨工作的毛样洪被一辆失控的轿车撞倒，经抢救无效死亡，年仅52岁。当天中午出门执勤时，毛样洪对家人说，“作为一名共产党员，我必须到第一线去”。,0
474,5e8d92fa7ac1f2cf57f7b40c,武汉医生梁武东殉职，62岁1月25日早上9点12分，湖北省中西医结合医院（新华医院）耳鼻喉科门诊一名工作人员告诉澎湃新闻，2020年1月16日，该院耳鼻喉科医生梁武东疑似感染新型冠状病毒肺炎，18日，其转到金银潭医院就诊，于1月25日早上7时许不幸去世，享年62岁。,0
451,5e8d92fa7ac1f2cf57f7b3f5,全国52支医疗队6097人支援湖北记者从湖北省新型冠状病毒感染的肺炎防控指挥部获悉：截至28日晚，共有国家卫健委、国家中医药管理局、中国中医科学院、29个省区市以及3支部队的52支医疗队6097人增援湖北。,0
475,5e8d92fa7ac1f2cf57f7b40d,黄冈开建“小汤山”医院1月25日清晨7点，500余名施工人员、10余台工程机械车出现在大别山区域医疗中心，此处将在48小时内改造成黄冈版“小汤山”医院，设立1000余张床位，集中收治发热病人，确保患者得到及时治疗。,0
479,5e8d92fa7ac1f2cf57f7b411,人社部要求企业不得开除因疫情不能上班的员工人社部24日通知，明确对新型冠状病毒感染的肺炎患者、疑似病人、密切接触者在其隔离治疗期间或医学观察期间以及因政府实施隔离措施或采取其他紧急措施导致不能提供正常劳动的企业职工，企业应当支付职工在此期间的工作报酬，并不得依据劳动合同法第四十条、四十一条与职工解除劳动合同。在此期间，劳动合同到期的，分别顺延至职工医疗期期满、医学观察期期满、隔离期期满或者政府采取的紧急措施结束。,0
487,5e8d92fa7ac1f2cf57f7b419,"交通部紧急通知全国暂停进入武汉道路水路客运发班1月23日凌晨,武汉市新型冠状病毒感染的肺炎疫情防控指挥部发出通告,明确“自2020年1月23日10时起,全市城市公交、地铁、轮渡、长途客运暂停运营;无特殊原因,市民不要离开武汉,机场、火车站离汉通道暂时关闭。恢复时间另行通知”。",0
488,5e8d92fa7ac1f2cf57f7b41a,江苏医生姜继军殉职，51岁据江苏泰州市人民医院消息，1月23日，医院感染科姜继军医生在查房后奔赴发热门诊的时候，因呼吸心跳骤停，倒在他热爱的工作岗位上，虽经举全院之力的抢救但姜医生仍然于当日下午15:00不幸离世。据泰州市人民医院官方订阅号介绍，在抢救姜继军医生的过程中，专家基本确定是心脑血管方面原因导致的猝死。,0
493,5e8d92fa7ac1f2cf57f7b41f,世卫称新冠肺炎可能持续“人传人”1月21日凌晨，世界卫生组织就新型冠状病毒(2019-nCoV)感染的肺炎疫情回应新京报记者称，目前有证据表明存在有限人传人的情况，尚无明确证据表明持续人传人。,0
503,5e8d92fa7ac1f2cf57f7b429,国务院将新冠肺炎纳入传染病法和卫生检疫法管理1月20日，国家卫健委发布1号公告，将新型冠状病毒感染的肺炎纳入《中华人民共和国传染病防治法》规定的乙类传染病，并采取甲类传染病的预防、控制措施。,0
504,5e8d92fa7ac1f2cf57f7b42a,武汉卫健委称部分病例没有华南海鲜批发市场接触史1月19日，武汉卫健委发布通报称对前期发布的新型冠状病毒感染的肺炎病例的流行病学资料分析发现，部分病例没有华南海鲜批发市场接触史。,0
476,5e8d92fa7ac1f2cf57f7b40e,北京首次确诊无湖北接触史患者截至25日17时北京市新增5例新型冠状病毒感染的肺炎病例，均已送至定点医疗机构进行救治。这5名新增患者为3男2女，年龄在36岁-45岁之间，其中3人有湖北接触史，2人有其他省份接触史。这是北京首次报告确诊无湖北接触史的患者。,0
445,5e8d92fa7ac1f2cf57f7b3ef,国家公务员考试录用、公开遴选和公开选调面试时间推迟1月28日，国家公务员局发布《关于推迟中央机关及其直属机构2020年度公务员考试录用、公开遴选和公开选调面试时间的公告》称，为贯彻落实党中央、国务院关于新型冠状病毒感染的肺炎预防控制工作的有关要求，经研究，中央机关及其直属机构2020年度公务员考试录用、公开遴选和公开选调面试时间推迟，具体安排另行通知，请考生耐心等待。,0
443,5e8d92fa7ac1f2cf57f7b3ed,新型冠状病毒mRNA疫苗研发已正式立项记者28日从同济大学附属东方医院获悉，同济大学附属东方医院转化医学平台与斯微（上海）生物科技有限公司合作，依托“上海张江国家自主创新示范区干细胞战略库与干细胞技术临床转化平台”课题子任务——mRNA合成平台成果，快速推动新型冠状病毒mRNA疫苗研发。近期，项目已紧急完成立项备案。,0
439,5e8d92fa7ac1f2cf57f7b3e9,江西医生蒋金波殉职，58岁蒋金波，江西省赣州市大余县疾病预防控制中心的医师，在疫情期间负责在隔离病房进行流行病学调查。1月28日23时50分，蒋金波因劳累过度突发心梗，经抢救无效不幸去世，时年58岁。从1月15日到28日，他一直守在岗位上。,0
410,5e8d92fa7ac1f2cf57f7b3ca,湖北红十字会回应捐赠物资分配质疑2月1日，湖北省红十字会就捐赠物资分配有关情况发表说明：对物资分配中存在的问题深感痛心、自责和内疚，对媒体和网民的监督和批评表示衷心的感谢！,0
415,5e8d92fa7ac1f2cf57f7b3cf,国家药监局派出督导组为进一步做好医用防护服质量监管，国家药监局派出督导组对河北、江苏、安徽、山东、河南、广东等重点省份医用防护服生产监管工作进行督导检查，督促指导地方药品监督管理部门进一步落实属地监管责任，加强对医用防护服生产企业的监督检查，切实保障医用防护服质量安全。,0
417,5e8d92fa7ac1f2cf57f7b3d1,多地市民抢购双黄连1月31日，中科院上海药物研究所发布消息称，双黄连口服液可用于抑制新型冠状病毒感染肺炎。随后，全国多地药店出现了市民排队购买双黄连口服液的现象。,0
418,5e8d92fa7ac1f2cf57f7b3d2,云南医生宋云花殉职，46岁宋云花，云南省保山市隆阳区青华街道太平社区卫生室医生。1月31日，开展了一上午防控新型冠状病毒感染的肺炎疫情工作的宋云花医生，在前往沈官园1号地的途中，13时30分许遭遇车祸，抢救无效，不幸离开了她牵挂着的家人与乡亲。,0
419,5e8d92fa7ac1f2cf57f7b3d5,北京山东数据开放平台率先上线确诊病例详情1月30日，北京、山东两省份在各自的政府数据开放平台——“北京市政务数据资源网”与“山东公共数据开放网”上线当地新型冠状病毒感染的肺炎疫情相关数据。,0
424,5e8d92fa7ac1f2cf57f7b3da,武汉理工大学教授徐晓英去世，62岁徐志雄的小女儿、武汉理工理学院教授徐晓英于1月30日在同济医院中法新城院区去世。,0
428,5e8d92fa7ac1f2cf57f7b3de,北京小汤山医院开始重建2020年1月29日，北京昌平小汤山医院开始重建工程，数百名工人入驻施工。,0
429,5e8d92fa7ac1f2cf57f7b3df,北京启用首个区级集中隔离点1月29日，北京首个集中隔离观察点正式启用，对部分无法开展居家医学观察的人员进行集中医学观察。,0
431,5e8d92fa7ac1f2cf57f7b3e1,铁路部门决定延长退票时限1月29日，中国国家铁路集团有限公司宣布，为打赢新型冠状病毒感染的肺炎疫情防控攻坚战，进一步方便旅客办理退票，铁路部门决定对使用现金购票或已于1月27日24时前换取纸质车票（含报销凭证）的旅客，暂时无法到车站办理退票的，做出延长退票时限调整。,0
433,5e8d92fa7ac1f2cf57f7b3e3,英国航空公司宣布暂停所有英国和中国直飞航班英国航空公司（BA）于29日宣布，由于冠状病毒的爆发，暂停往返中国大陆的所有航班，“即刻生效”。,0
434,5e8d92fa7ac1f2cf57f7b3e4,白宫宣布暂时不暂停中美航班1月29日据路透社报道，知情人士对路透社表示，在新型冠状病毒感染肺炎疫情期间，白宫决定暂不暂停从中国飞往美国的航班。,0
435,5e8d92fa7ac1f2cf57f7b3e5,湖北红十字会公布捐赠物资使用情况引发质疑1月29日，湖北省红十字会公布第一批次防控新型冠状肺炎捐赠物资使用情况，引发网友疑问。,0
436,5e8d92fa7ac1f2cf57f7b3e6,习近平会见谭德塞国家主席习近平1月28日在人民大会堂会见世界卫生组织总干事谭德塞。,0
437,5e8d92fa7ac1f2cf57f7b3e7,武汉3名被感染医护人员出院今天，华中科技大学附属协和医院的15名被感染医护人员经过治疗后，临床症状得到有效控制。经专家组讨论后，协和医院首批共有3名医护人员符合出院标准，于上午11时许出院。 ​,0
438,5e8d92fa7ac1f2cf57f7b3e8,武汉督促各药店门店必须正常营业不得哄抬物价针对大量药店关闭，武汉市民购买药品和防护物资难的实际，武汉市市场监管局发出紧急通知，要求各区市场监管部门即刻约谈辖区连锁店负责人和单体药店负责人，督促各门店自1月28日起必须正常营业，做好防控药械和消毒用品市场供应，不得哄抬物价。,0
505,5e8d92fa7ac1f2cf57f7b42b,广东确认首例输入性确诊病例20日凌晨，广东省卫生健康委通报，1月19日，国家卫生健康委确认广东省首例输入性新型冠状病毒感染的肺炎确诊病例。,0
511,5e8d92fa7ac1f2cf57f7b431,武汉百步亭社区“万家宴”开席武汉百步亭社区第20届“万家宴”开席。从“百家宴”到“千家宴”，再到“万家宴”，武汉百步亭社区创办的新年活动已经成为社区居民的传统节日，如今已连续举办20届。,0
512,5e8d92fa7ac1f2cf57f7b432,武汉卫健委当日通报无新增确诊1月17日，武汉卫健委当日无通报。,0
513,5e8d92fa7ac1f2cf57f7b433,袁国勇称警惕人传人和无症状感染的风险1月17日，国家卫健委高级别专家组成员袁国勇书面报告高福和广东省疾控中心，警惕人传人和无症状感染的风险。,0
550,5e8d92fa7ac1f2cf57f7b459,武汉协和医院设立呼吸传染病隔离区12月31日，武汉协和医院设立呼吸传染病隔离区。,0
551,5e8d92fa7ac1f2cf57f7b45a,华南海鲜批发市场大规模消毒12月31日，华南海鲜批发市场大规模消毒。,0
553,5e8d92fa7ac1f2cf57f7b45c,武汉卫健委称未见明显人传人和医护感染武汉市卫生健康委员会31号通报，近期部分医疗机构发现接诊多例与华南海鲜城有关联的肺炎病例，经专家会诊系病毒性肺炎，到目前为止调查未发现明显人传人现象，未发现医务人员感染。,0
554,5e8d92fa7ac1f2cf57f7b45d,北京博奥医学检验所反馈武汉不明原因肺炎病例样本检测结果12月30日，北京博奥医学检验所反馈送检报告，检测结果直接是“SARS”冠状病毒，引起武汉医生们的注意。,0
